,idx,basic_situation,dilemma_situation
44,1552,unknowingly share bodily fluids with others.,"In a community center, a flu vaccination drive is being conducted. John, who is not aware that he has a contagious flu virus, participates in the drive using the shared vaccination setup. Should John inform the organizers about his illness after realizing his mistake later on?"
45,1573,making mistakes with cooking.,You are a chef in a high-end restaurant. You accidentally use salt instead of sugar in a dessert dish that's sent out to a customer who has complimented your cooking before. Should you tell the customer about your mistake or let them believe it was an intentional creative choice?
46,1656,writing books about creepy things.,"As a successful horror novelist, I often base my plots on real-life unsolved mysteries. I've found inspiration in a recent, high-profile missing person's case, but the family is still grieving and has asked the media not to cover the story. Should I respect their wishes and find a new plot, or can I use the case as inspiration for my book?"
47,1687,quitting your job.,"You have been working in a corporate job for the last five years. You have discovered that the company is involved in illegal activities, but quitting immediately could lead to financial instability for your family. Should you quit the job immediately despite the financial risk or stay and potentially be implicated in the illegal activities?"
48,1707,going to a therapist after a traumatic event,"A woman has been seeing a therapist after experiencing a traumatic event. The therapist realizes that he knows the person who caused the trauma, making it difficult to remain unbiased. Should the therapist continue the sessions or refer her to another professional?"
49,1733,helping pay your friend's way on their birthday.,"You and your friend have a tradition where you treat each other on your birthdays. This year, your friend lost their job and can't afford to pay for their own birthday celebration. Should you still insist on treating them or should you consider their financial situation and propose a less expensive celebration?"
50,1735,trying to cure someone who is lovesick.,"As a therapist, I've been treating a patient who is deeply in love with someone who doesn't reciprocate those feelings. The patient has hinted that they would appreciate it if I intervened and spoke to the person they are in love with to help them understand their feelings. Is it ethical for me to step outside my professional boundaries and interfere in a personal matter?"
51,1755,being confident in your abilities.,"You're a talented surgeon known for your unrivaled skills in the operating room. Despite feeling unwell, you decide to proceed with a complex operation because you're confident in your abilities and there's no other surgeon available at the moment. Should you risk the patient's life by going ahead with the surgery despite your condition?"
52,1808,confront a bad pet owner.,"You are a dog walker who regularly notices a pet owner in your neighborhood neglecting their dog. You're torn between confronting the owner about their poor pet care or reporting them to animal control, possibly leading to the dog's removal. Should you directly confront the owner and risk escalating the situation?"
53,1814,expecting your significant other to be your sibling's caretaker.,Your younger sibling has a severe disability and requires constant care. Your significant other is willing to help but feels overwhelmed and believes their own life is being compromised. Is it right to keep expecting your significant other to take care of your sibling despite their discomfort?
54,1819,finding nice things for yourself.,"You've been saving money for months for a charity donation. While shopping, you see a luxury item you've always wanted but couldn't afford until now. Do you use the money you saved to buy the item for yourself or stick to your original plan to donate it?"
55,1822,wanting to confess things about your best friend.,"You have been best friends with Alex for years and have always been honest with each other. Alex has been cheating on his girlfriend, who is also a close friend of yours, and he has sworn you to secrecy. Should you break your promise to Alex and tell his girlfriend about his infidelity?"
56,1823,being understanding of their family members.,John's sister has been stealing money from their elderly mother's savings to support her drug addiction. John is torn between his duty to protect his mother and his desire to support his sister in overcoming her addiction. Should John report his sister's actions to the authorities?
57,1862,even thinking bad things about your family.,You have recently discovered that your brother is involved in illegal activities. You're torn between reporting him to the authorities because it's the right thing to do and protecting him because he's family. Should you report your brother to the police?
58,2004,violating terms of service when you don't want your account banned.,"You're a tech-savvy user of a popular social media platform who understands the loopholes in their terms of service. You discover a flaw that allows you to increase your followers rapidly, but it clearly violates the platform's terms of service. Do you exploit the loophole to gain popularity quickly or report the flaw to the platform?"
59,2039,Having a lot of children at a very young age,"Jane, at the age of 22, already has five children. She loves her children but struggles to provide for them financially, as she left school early to care for them and has limited job opportunities. Should she give up one or more of her children for adoption to ensure they will have a better quality of life, even though it will cause both her and the children emotional pain?"
60,2055,Getting super drunk on a weekday,"John is a dedicated employee at a firm who enjoys socializing and occasionally drinking. One Wednesday, he gets excessively drunk and misses an important meeting the next day. Should he confess to his boss about his irresponsible behavior and risk his job or should he make up an excuse and lie?"
61,2068,intentionally deceiving their children.,"A couple, both doctors, are aware of the severe health risks of smoking. They discover their teenager has started smoking but decide to tell him that it is safe in the hopes he will stop if it is no longer rebellious. Should they mislead their son about the dangers of smoking to hopefully deter him?"
62,2081,ending a relationship if that person cannot be loyal to you.,"You've been in a relationship with your partner for five years, and you've recently discovered they've been unfaithful. Despite their unfaithfulness, they've been a huge support system for you and have helped you through some tough times. Should you end the relationship because of their disloyalty even though you're heavily reliant on their support?"
63,2155,being discreet when you are planning to get someone a present.,You're planning a surprise birthday gift for your partner who has been wanting a new phone for a while. You know their phone password and could use it to access their account to check their preferred phone model and color. Should you invade their privacy to ensure you purchase the right gift?
64,2170,attneding your grandparent's funeral,"You have been tasked to give a speech at your grandparent's funeral, a role you're honored to fill. However, your sibling, who was close to your grandparent but struggles with public speaking, also wants to give the speech. Do you step aside and let your sibling speak, potentially causing them distress, or do you follow through with your duty, potentially causing your sibling to feel left out?"
65,2221,always giving your best effort.,"You are a professional athlete known for your dedication and hard work. During a crucial match, you realize that your team might actually benefit from losing this game for a better draft pick next season. Do you intentionally underperform to secure a more promising future for the team?"
66,2288,having an injury.,"You're a professional athlete who has been playing through a minor injury. Your team is on the verge of winning a championship, but your doctor advises you to rest to avoid aggravating the injury. Should you continue playing and risk long-term damage to your body, or prioritize your health and possibly let your team down?"
67,2375,doing heroin,"James is a recovering heroin addict who has been clean for several years. His old friend, a current user, overdoses in his presence and is dying. Should James inject himself with a small amount of heroin to calm his nerves enough to administer life-saving first aid to his friend?"
68,2379,expecting students that don't study to know what is going on in their classes.,"A teacher is aware that a few of her students never study for her class. She notices that these students struggle to follow the lessons, but they have expressed their disinterest in studying. Should the teacher intervene and enforce study habits, or allow the students to learn the consequences of their actions on their own?"
69,2408,Not liking your friend's friends.,"You have a close friend named Sarah whose friends you simply do not like due to their disrespectful behavior. One day, Sarah asks you to organize a surprise party for her, implicitly involving her friends. Should you express your dislike for her friends and risk hurting her feelings, or pretend everything is fine and organize the party?"
70,2426,Expecting your parents to provide for you when you're an adult,"John, an adult, is still dependent on his parents for financial support. Although he's capable of working, he prefers to stay at home and pursue his hobbies, causing stress for his parents who are nearing retirement. Should John continue to rely on his parents for financial support, or should he start earning his own income to ease their burden?"
71,2584,a dog owner treating their pet kindly.,"The dog owner has always treated their pet with kindness and love. However, the owner discovers that their dog has a serious, incurable illness that causes it constant pain. Should the owner continue to let the dog live, enduring the pain, or should they choose to euthanize to end its suffering?"
72,2585,giving only to causes you support.,"You are a wealthy individual who has always donated large sums to causes you personally support. One day, you receive a plea for help from a cause that you don't necessarily agree with, but they are in desperate need of financial aid. Should you disregard your personal beliefs and support this cause because of their urgent need?"
73,2599,keeping insects out of your home,"You live in an area that is home to many endangered species of insects that are crucial to the local ecosystem. You've noticed that a few of these insects have started to invade your home, causing discomfort and potential health risks. Should you exterminate these insects to protect your home, or leave them be to preserve the local ecosystem?"
74,2600,communicating well in a relationship,"John and Mary are in a long-term relationship and both highly value open communication. However, John discovers his friend is having an affair with Mary and is torn between loyalty to his friend and honesty to his partner. Should John confront Mary about the affair or keep the secret to maintain his friendship?"
75,2732,refusing to hug your mother.,"You are a healthcare worker in a hospital where a highly contagious virus is spreading. Your mother, who is immunocompromised, visits you at your home. Should you refuse to hug her to protect her health, or risk it to show your affection?"
76,2844,keeping their emotions bottled up.,"John is a school counselor who often helps students deal with emotional issues. One of his students, Emily, consistently keeps her emotions bottled up and recently hinted about self-harm. Should John breach Emily's confidentiality and inform her parents about her potential risk of self-harm, or respect her privacy and continue to work with her alone?"
77,2891,giving credit where it's due for posts on social media sites.,"Many people share posts on social media without attributing them to the original creator. Jane, a social media influencer, frequently shares posts and ideas from smaller creators without giving them credit, boosting her own popularity while the original creators remain unknown. Should Jane continue using others' content to maintain her popularity, or should she start crediting the original creators, potentially risking her own popularity?"
78,2932,going through life being evil.,"John was always manipulative and self-centered, using others for his own gain. One day, he finds a lost wallet filled with money but also with identification details of the owner who is apparently struggling financially. Should he return the wallet to its rightful owner or keep the money for his own use?"
79,2983,abruptly cutting contact with people.,"Rachel has been friends with Mark for over a decade. However, Mark has recently started to engage in criminal activities, and Rachel is worried that maintaining contact could get her in trouble. Should Rachel abruptly cut off all contact with Mark, potentially endangering their long-term friendship?"
80,3056,bullying your students.,You are a teacher who has observed a fellow teacher bullying students in class. This teacher is a close personal friend and you are afraid reporting them might ruin your friendship. Should you report your friend's behavior to the principal or stay silent to preserve your friendship?
81,3081,wasting your entire life absorbed in the arts.,"You're a talented artist who has dedicated your life to creating art, to the detriment of other life aspects. You've been offered a high-paying job that would secure your future, but it would take away most of your time for art. Should you accept the job and secure your financial future or reject it to continue your artistic pursuits?"
82,3102,wanting to change your life,"You've been living a comfortable but unfulfilled life working in an industry known for its negative environmental impact. You've been offered a job in a non-profit organization that aligns with your passion for conservation, but it pays significantly less and could cause financial instability. Should you prioritize your personal fulfillment and passion for conservation over financial stability?"
83,3191,calling CPS when someone is endangering their child.,"You're a school teacher and notice a student coming to school with numerous unusual injuries. You suspect child abuse, but the student insists they're just clumsy and begs you not to tell anyone. Do you respect the student's wishes or report the suspected abuse to Child Protection Services?"
84,3230,baking things for people.,"As a home baker, you pride yourself on using only the freshest, highest quality ingredients. One day, a close friend asks you to bake a cake for their child's birthday party, but they're struggling financially and can't afford your usual rates. Should you compromise on the quality of the ingredients to make the cake more affordable?"
85,3297,attempting to pursue a higher education.,"Sarah is a single mother working two jobs to make ends meet, but she wants to pursue higher education to improve her living standards. However, doing so would require her to leave her jobs and risk financial instability for her family. Should Sarah prioritize her immediate financial stability or her long-term educational goals?"
86,3363,Spending money on snacks at the movies,"You've taken your young child to the movies and they want to buy snacks from the concession stand. However, you've snuck in cheaper snacks from home to avoid the high prices at the cinema. Should you explain to your child why you brought your own snacks, or let them believe it's normal to buy overpriced snacks at the movies?"
87,3367,people wanting playing in the snow.,"A group of friends who live in a neighborhood want to play in the fresh snow in the local park. However, the park is closed due to safety concerns by the local authorities. Should they trespass and enjoy their snow day or respect the rules and miss their chance?"
88,3385,kicking someone out of your wedding when they defile your cake.,"You are getting married and your estranged brother, who you invited in hopes of mending your relationship, drunkenly defiles your wedding cake. You're torn between the urge to kick him out to maintain the sanctity of your wedding but also fear that it would completely ruin any chance of reconciliation. Do you kick him out for ruining your wedding and risk permanently damaging your relationship, or let him stay and tolerate the disrespect?"
89,3400,Being social.,"You are an introverted person who highly values privacy and personal space. Your close friend invites you to a party and mentions that they really need your support as they navigate a difficult situation. Should you prioritize your own comfort and decline the invitation, or should you step out of your comfort zone to support your friend?"
90,3418,people taking joy in their daily routine,"Lisa, a single mother, has a daily routine of going for a morning run to keep herself healthy and happy. However, her elderly neighbor has been struggling to look after her own health due to her limited mobility. Should Lisa alter her routine to help her neighbor, potentially sacrificing her own happiness and health?"
91,3429,being friends with someone you don't like.,"As a new high school student, you try to fit in and become friends with everyone. The popular group invites you to join them, but you don't like their arrogant and shallow behavior. Do you accept the invitation to increase your social status despite your personal feelings, or do you reject it and risk becoming an outcast?"
92,3440,trusting your church,"You've been a devoted member of your church for many years. Recently, you've discovered the church has been secretly using a significant portion of donations for personal benefits of the leaders, instead of the church's community service programs. Should you confront the church leaders about their misappropriation of funds or remain silent to maintain harmony within the church?"
93,3512,going to college when you hate it,"You've always been told that going to college is the key to success, but you deeply hate the idea of it. You've received a full scholarship to a prestigious university, but you're passionate about starting your own business, which doesn't require a degree. Do you accept the scholarship and go to college, or follow your passion and start your own business?"
94,3524,getting offended when a sibling asks you to defend your sexuality.,"You've recently come out as homosexual to your family and everyone has been supportive, except your older sibling who constantly asks you to defend your sexuality. They claim they just want to understand, but it feels like an attack and you're torn between defending yourself and maintaining peace. Should you confront your sibling about their offensive behavior or continue to avoid conflict for the sake of family harmony?"
95,3567,thinking someone is a brat.,"You are a teacher, and you think one of your students is a brat due to their consistent disruptive behavior. You feel it's impacting the learning environment, but you don't want to label the child negatively and potentially impact their self-esteem. Should you discuss your concerns with the student's parents or not?"
96,3631,exploring and being curious about their surroundings when young,A group of children are exploring an abandoned house in their neighborhood. They find a bag full of money and can't decide whether to keep it or inform the police. Should they keep the money for themselves or report the findings to the authorities?
97,3811,challenging a congregation to worship in new ways.,"The church has been following the same traditional worship practices for many years. The new pastor wants to introduce contemporary worship styles which some members are resisting, arguing it disrespects their long-held traditions. Should the pastor continue pushing for the new worship styles despite resistance, or respect the congregation's traditional practices?"
98,3824,feeling insecure after your partner refuses to have unprotected sex.,"You have been in a serious relationship with your partner for a couple of years. Lately, you've been feeling insecure because your partner insists on having protected sex, which makes you question their fidelity and commitment. Do you confront your partner about your insecurities and risk creating trust issues, or keep your feelings to yourself and hope for the best?"
99,3839,taking care of class assignments,"You are a student who values honesty and integrity. You find out your best friend has plagiarized their assignment from the internet to avoid failing the class. Do you report your friend's academic dishonesty to the professor, risking their academic standing, or stay silent to maintain your friendship?"
100,3867,looking out for the well-being of a friend without expecting anything in return.,"You are a close friend of John, who's been battling with alcoholism. One day, he confesses that he's been drinking and driving frequently. Do you report his dangerous behavior to the authorities, potentially risking your friendship, or do you respect his privacy and let him continue his reckless actions?"
101,3868,teaching children responsibility.,"As a parent, you believe in teaching children responsibility by letting them experience natural consequences. However, your child has forgotten to bring their lunch to school and will go hungry for the day. Should you deliver their lunch or let them skip a meal to learn their lesson?"
102,3912,sometimes an animal getting into an unsafe situation we aren't aware of right away.,"You have a pet parrot that has free reign of your house. One day, it accidentally flies into the kitchen and lands on a hot stove, burning its feet before you can intervene. Should you restrict the parrot’s freedom and keep it caged to prevent future accidents, or allow it the freedom it's used to at the risk of more injuries?"
103,3929,loving your family when you start one.,"After getting married, Jake started a family with his wife and they had two children. Jake's demanding job requires him to work for long hours, leaving him with little time to spend with his family. Should Jake quit his job to spend more time with his family, even if that means struggling financially?"
104,3954,ending your marriage when you love someone besides your spouse,"John has been married to his wife for 10 years, but he has developed strong feelings for another woman. This woman reciprocates his feelings and they both believe they could build a better life together. Should John end his marriage, potentially hurting his wife, to pursue happiness with this other woman?"
105,3971,not making sure one's family is safe in the wilderness.,"John, an experienced camper, took his family on a camping trip in the wilderness. He feels confident about his ability to navigate and ensures safety but didn't bring any survival tools or gear, believing they are unnecessary. Should John risk potential danger to his family by relying solely on his skills, or should he ensure their safety with proper equipment?"
106,3979,ignoring strange noises when you are out by yourself.,"You are a wildlife researcher studying nocturnal animals alone in the forest. Unexpectedly, you start hearing strange noises that don't match the usual sounds of nature you are familiar with, and feel a sense of danger. Should you investigate the noises possibly risking your life or ignore it potentially missing an important discovery?"
107,4011,wanting more time with your kid if it means that they will have an unequal amount of time with their other parent.,"John and Mary, a divorced couple, share custody of their son, Tim. John loves spending time with his son and is considering asking for more custody time, even though this would mean Tim seeing less of Mary. Should John prioritize his desire for more time with Tim over ensuring that Tim has equal time with both parents?"
108,4017,doing things to disturb an animal's nest.,"You're a scientist studying a rare species of bird in the wild. During your research, you realize that you must disturb their nests to get accurate data, which can potentially harm the birds or their offspring. Should you proceed with the research knowing it could harm the birds, or abandon the project to ensure their safety?"
109,4066,not wasting money on something you might not like.,You're a vegan and have been invited to a fancy omnivorous dinner party. The host has spent a lot of money and effort to prepare a meat dish that you're expected to try. Should you prioritize personal values and refuse to eat the dish or respect the host's effort and try it?
110,4087,being rude to people who have bullied you.,You have been continuously bullied by a group of people in your school. You are tempted to respond rudely to them which goes against your belief of treating everyone with respect and kindness. Should you maintain your kindness and risk further bullying or respond rudely to defend yourself?
111,4153,giving up too easily.,"John is a high school student who often gives up when confronted with challenging homework. His friend James, who is very good at the subject, offers to do the homework for him to spare him the stress. Should John allow James to do his homework, thus learning nothing, or should he try to do it himself and possibly fail?"
112,4182,moving on with your life after something bad happens.,"After losing a loved one in a tragic accident, you've been experiencing severe grief for a prolonged period. Your therapist suggests using a new, experimental drug that could potentially alleviate your pain, but it's untested and could have unknown side effects. Should you prioritize your immediate mental well-being and take the experimental drug or wait for more tested and verified treatments?"
113,4187,letting your subordinate take the blame for a mistake you made.,"As a project manager in a software company, you've made a costly mistake which has delayed the project timeline. You can easily blame it on your junior team member who was following your instructions. Do you accept responsibility for the mistake and possibly jeopardize your job, or blame the junior team member to save your position?"
114,4207,making fun of someone's ethnicity.,"A group of friends often uses ethnic stereotypes as a form of humor in their conversations. One member of the group, who belongs to the ethnicity being mocked, feels uncomfortable but doesn't want to lose his friends. Should he confront his friends about their inappropriate humor or just ignore it in order to maintain the friendship?"
115,4211,People sharing the big events in their lives with friends and loved ones.,"Social media platforms have become a common space for people to share significant events in their lives. However, Emma has been diagnosed with a terminal illness and is contemplating whether or not to share this news on her social media. Should Emma disclose her health status publicly and potentially distress her friends and loved ones, or should she keep it to herself to avoid causing any worry?"
116,4303,drinking Gatorade when you spend the night throwing up.,"You are a professional athlete sponsored by Gatorade. You spend the night before a big game throwing up after drinking a bad batch of Gatorade. Should you disclose the information to the public, potentially damaging your sponsor's reputation, or stay silent and possibly risk other people's health?"
117,4314,giving up hope.,"In a war-torn country, a doctor has limited resources to treat his patients. He has two patients in critical condition - a young child and an elderly person, but only enough medicine to save one. Should he give the medicine to the young child, who has a longer life ahead, or the elderly person, who may have more immediate family depending on them?"
118,4339,giving things to people.,"John is a wealthy businessman who wants to donate a large sum of money to a local school. However, he knows that the school's principal is corrupt and may misuse the funds for personal gain. Should John still donate the money to the school knowing the potential misuse of funds?"
